Zone,Contained,Partial
PLENUM 250.11.271,722,0
PLATFORM 250.01.201,512,0
CONCOURSE PAID 250.02.201,353,0
EMERGENCY EGRESS 1 250.05.205,351,0
BOH CORRIDOR 250.11.248,176,0
DAMPER ACCESS ROOM 1 250.11.284,176,0
EMERGENCY EGRESS 2 250.05.206,133,0
SERVICES CORRIDOR 250.11.250,113,0
BOH CORRIDOR 250.11.216,58,0
CABLE CORRIDOR - UNDER PLATFORM DOWN TRACK 250.11.236,51,0
TVS 250.11.238,50,0
TVS 250.11.237,50,0
PASSENGER ADIT 250.02.203,46,0
PASSENGER ADIT 250.02.202,44,0
BOH CORRIDOR 250.11.224,43,0
PERMANENT WAY UP TRACK 250.10.202,40,0
PERMANENT WAY DN TRACK 250.10.201,38,0
EGRESS STAIR 11 250.05.212a,33,0
EGRESS STAIR 10 250.05.201a,33,0
QR TRAIN CREW TOILETS 1 250.08.202,31,0
BOH CORRIDOR 250.11.249,30,0
TVS PLENUM ROOM 5 250.11.212,29,0
UNDER PLATFORM ACCESS 250.11.223,29,0
QR TRAIN CREW TOILETS 2 250.08.203,28,0
TVS PLENUM ROOM 7 250.11.201,27,0
TRAIN SECURITY STAFF ROOM/ POLICE HOLDING ROOM 250.07.001,27,0
TVS PLENUM ROOM 6 250.11.202,25,0
PLATFORM OFFICE 250.08.204,25,0
CABLE CORRIDOR - UNDER PLATFORM UP TRACK 250.11.227,24,0
FLOOR CLEANING MACHINE ROOM 2 250.12.201,23,0
QR STORE ROOM 2 250.08.205,23,0
TVS PLENUM ROOM 4 250.11.208,22,0
QR STORE ROOM 250.08.013,21,0
OVER MEZZANINE AC PLENUM 250.11.203,21,0
EGRESS STAIR 11 250.05.212b,21,0
UNDER PLATFORM ACCESS 250.11.222,21,0
TVS 250.11.240,20,0
UNDER PLATFORM ACCESS 250.11.221,20,0
TVS ACCESS 250.11.213,20,0
EGRESS STAIR 11 250.05.212c,18,0
SERVICES CORRIDOR-ADIT 250.11.251,18,0
TVS ACCESS 250.11.252,18,0
PSD ROOM 250.11.204,18,0
UNDER PLATFORM ACCESS 250.11.220,18,0
CABLE RISER 250.11.279b,17,0
AIRLOCK 3 250.11.276,17,0
TVS 250.11.239,17,0
EGRESS STAIR 10 250.05.201b,17,0
AIRLOCK 2 250.11.275,17,0
OTE CROSSOVER DAMPER ROOM 2 250.11.255,17,0
AIRLOCK 4 250.11.277,16,0
ELECTRICAL DISTRIBUTION BOARD 6 250.11.232,16,0
EGRESS STAIR 10 250.05.201c,16,0
ELECTRICAL DISTRIBUTION BOARD 3 250.11.231,16,0
OPE PLENUM 250.11.264,16,0
AIRLOCK 1 250.11.274,16,0
TVS SHAFT 250.11.006,16,0
TVS SHAFT 250.11.005,16,0
OTE CROSSOVER DAMPER ROOM 4 250.11.257,15,0
UNDER PLATFORM ACCESS 250.11.253,15,0
OPE PLENUM 250.11.263,15,0
RIS SIGNALLING POWER EQUIPMENT ROOM 250.13.203,15,0
OPE PLENUM 250.11.265,15,0
RIS HV TRACTION POWER ANNEXE 250.13.208,15,0
FIRE LIFT 1 250.04.203a,15,0
AHU PLANT 2 250.11.215,14,0
FHR 250.11.245,14,0
BOH LOBBY 250.11.217,14,0
PUBLIC LIFT 4 250.04.202b,14,0
UNDER PLATFORM ACCESS 250.11.247,14,0
OTE CROSSOVER DAMPER ROOM 3 250.11.256,14,0
OTE CROSSOVER DAMPER ROOM 1 250.11.254,14,0
AHU PLANT 250.13.205,14,0
PRM REFUGE 1 250.05.207,14,0
TVS RISER 1 250.11.226a,14,0
OPE PLENUM 250.11.266,14,0
TVS SUPPLY CROSS CONNECTION DUCT 250.11.214,14,0
RIS HV TRACTION SWITCHROOM 250.13.202,14,0
RIS TUNNEL CROSS PASSAGE EQUIPMENT ROOM 250.13.207,13,0
PUBLIC LIFT 3 250.04.201b,13,0
STAIR 10 AIRLOCK 250.05.208,13,0
ELECTRICAL DB CUPBOARD 250.11.280,13,0
TVCS CABINET 250.11.258,13,0
STAIR 11 AIRLOCK 250.05.210,12,0
TVS RISER 3 250.11.219a,12,0
CABLE RISER 250.11.279a,12,0
ELECTRICAL DB CUPBOARD 250.11.281,12,0
TVS SUPPLY CROSS CONNECTION DUCT 2 250.11.210,12,0
FHR 250.11.244,12,0
STAIR 10 AIRLOCK 250.05.209,12,0
RIS STATION COMMUNICATIONS EQUIPMENT ROOM 250.13.204,11,0
FIRE HYDRANT CABINET 250.11.290,11,0
RIS SIGNALLING EQUIPMENT ROOM 250.13.201,11,0
FHR 250.11.243,11,0
TVS RISER 2 250.11.225a,11,0
SERVICES RISER 2 250.11.229b,11,0
FHR 250.11.259,11,0
TVS RISER 4 250.11.218a,11,0
MOBILE REPEATER CUPBOARD 2 250.11.289,11,0
MOBILE REPEATER CUPBOARD 1 250.11.288,11,0
QR TRACKSIDE MAINTENANCE STORAGE ROOM 250.08.201,11,0
TVS SUPPLY CROSS CONNECTION DUCT 250.11.206,11,0
GOODS LIFT 3 250.04.204b,11,0
TVS DAMPER DB CUPBOARD 250.11.246,11,0
TVS SHAFT 250.11.008,11,0
TVS SHAFT 250.11.007,11,0
SERVICES RISER 1 250.11.228a,10,0
SERVICE CORRIDOR ACCESS LOBBY 250.05.204,10,0
COMMS CUPBOARD 250.11.282,10,0
STAIR 11 AIRLOCK 250.05.211,10,0
OTE PLENUM 250.11.270,10,0
PRM REFUGE 2 250.05.215,10,0
PUBLIC LIFT 3 250.04.201a,10,0
FIRE HYDRANT CABINET 250.11.295,10,0
FIRE HYDRANT CABINET 250.11.294,10,0
OTE PLENUM 250.11.269,10,0
TVS NOZZLE ROOM 1 250.11.209,9,0
CABLE CORRIDOR - UNDER PLATFORM DOWN TRACK 250.11.235,9,0
CABLE CORRIDOR - UNDER PLATFORM DOWN TRACK 250.11.234,9,0
CABLE CORRIDOR - UNDER PLATFORM DOWN TRACK 250.11.233,9,0
TVS NOZZLE ROOM 4 250.11.205,9,0
DAMPER ACCESS ROOM 2 250.11.285,9,0
SWITCH BOARD CABINET 1 250.11.272,9,0
FIRE HYDRANT CABINET 250.11.292,9,0
FIRE HYDRANT CABINET 250.11.291,9,0
TVCS CABINET 250.11.283,9,0
OTE PLENUM 250.11.267,9,0
CABLE CORRIDOR - UNDER PLATFORM DOWN TRACK 250.11.230,9,0
OTE PLENUM 250.11.268,9,0
TVS NOZZLE ROOM 3 250.11.207,8,0
SWITCH BOARD CABINET 2 250.11.273,8,0
COMMS CUPBOARD 250.11.260,8,0
FIRE HYDRANT CABINET 250.11.293,8,0
GAS SUPPRESSION STORAGE 250.11.261,8,0
GAS SUPPRESSION STORAGE 250.11.278,8,0
TVS NOZZLE ROOM 2 250.11.211,8,0
OME DAMPER ROOM 2 250.11.287,7,0
OME DAMPER ROOM 1 250.11.286,7,0
PUBLIC LIFT 4 250.04.202a,7,0
GAS SUPPRESSION STORAGE 250.11.262,7,0
GOODS LIFT 3 250.04.204a,7,0
RIS STATION COMMUNICATIONS EQUIPMENT ROOM 250.13.206,6,0
TRACKSIDE LV ROOM 250.11.242,3,0
TUNNEL WATER SUMP 250.11.241,3,0
FIRE LIFT 1 250.04.202f,2,0
